twitter_id,bio,types
1119878155026583554,ISFJ-A,ISFJ
1325750345385955328,Just your regular ISTJ for all you mbti people out there 🤓,ISTJ
1322218704856358912,"ESTJ ♧
كمت♡",ESTJ
1103959760095928320,#blacklivesmatter +Jake Gyllenhaal is babey+15+🇭🇰+ISFP+bi+she/her+acab,ISFP
3010151190,"22 | ESTJ 3w2 | 🇦🇺 Aspiring graphic designer and tea enthusiast
Discord admin for @GZcharge and @TheMetaGaming #FeelTheCharge",ESTJ
1284858367257661442,"Nice to meet you! My name's Chiho
queer artist from the 🇵🇭🏳️‍🌈 (she/her)
I stan skz, txt, day6, and mamamoo
 Infp-T(16) ♍️💫",INFP
1265703148531920896,"she/her 19 yo
❤️💜💙 INFJ-T fan acc 
 #NCT127 + #NCTDREAM + #WAYV 🌼 #EXO 🌼 #REDVELVET 🌼 dojeuni and nanadoongie: i'm gonna make this environment full of love",INFJ
247127803,"a student, professional overthinker, fangirl & an ESTJ who tweets in assertive way sometimes so pls don’t take my tweets seriously unless you personally know me",ESTJ
1102325283342950401,major weirdo ( ͡° ͜ʖ ͡°)| im spoiling everything yah⚠️ | жжжььяяаа я задолбалась | stan Scorpia | im ISFJ btw | закрытка @catwavedische,ISFJ
1256222095857647618,chrollo kopnij mnie w gardło | ***** *** i acab chłopaki | entj | matching z @zolwgredzki,ENTJ
1324122714634944513,"one of those scary radicals who believes everyone should be treated as human😡‼️ infp-a, socialist, leo, lesbian",INFP
883118026647842817,feminist sitcom stan with adhd | 15 | she/her | enfj | hufflepuff | bi/pan,ENFJ
424719778,infp-t • she/her • trust yourself; love yourself✨,INFP
53530078,"INFJ-T

baby, I apologize
that I got the good side
the good side of things",INFJ
514997650,enfp e canceriana basicamente eu choro muito | assexual e romântica | 20 anos ela/dela,ENFP
1321259495897526273,she/her | intj | physical therapy undergrad | professional procrastinator,INTJ
1037122442857271297,Good old-fashioned lover boy | ESFP 2w3,ESFP
2960083505,24🇺🇸 la mia vita è un ossimoro 🌻🖤 ENFP personality,ENFP
2767265363,| I play DPS for @exalt_ow | Astrophysics | INTP 5w4| ESP/ENG |,INTP
1115941054824497152,CANCER ☀️ TAURUS 🌙 PISCES ⬆️ INFP-T ✨ SKZ ✨ NCT/WAYV ✨ OOO ✨ TXT ✨ VERIVERY ✨ T1419 ✨ MCND ✨ 1TEAM ✨ GOLDENCHILD ✨,INFP
1322859104243752960,The funny sister. Co-founder of @sosyncd ♡. ESFJ.,ESFJ
1322623749749936128,Some TOG stuff✨| minor💞 | she/her | INFP♋💫| pretty child friendly (except I crack some not-so-innocent jokes)| simp for #KHUN,INFP
1129434335113863168,cinefila fastidiosa :) || lg(b)t || intp,INTP
1091937566293716997,intj and fuckin gay/ 8w9/ chaotic neutral/ choleric-melancholic/ 16/ she/they,INTJ
1067813882046148608,istp with high ti,ISTP
1289710386392924160,"#infj / #mbti stuff ♡
she/her, ifb mbti/cube accounts",INFJ
870292355915538432,👷‍♀️• BNL • ENFP-T,ENFP
2897713632,"Fueled by plants, books, and mana. 
11 yr old rabbit=my familiar. 
Shaman. INFP. aries☼ leo☾ cancer↑
#WoW faves: all-Druid, heals-Shaman, 
dps-Warlock, tank-DH",INFP
1299803365371768833,#infp,INFP
1312064308357062657,"#langtwt 🥀 20 yrs old | virgo | infj | portugal

native: portuguese | fluent: english and spanish | learning: japanese and french",INFJ
1300548705792204800,"Moon, Clover or Saturn! | they/fae | infp | 4w? 9w? 6w7 | phlegmatic sanguine| sp/so i think | 22 | white | main is @myntlimeade! Ocs r my love language (hj)",INFP
1307615044041977856,"eevee | INTP 5w4 | artist | i have many cursed memes
main/ art acc: @Eeveeyao",INTP
1278599802645774337,"🖍️ !! READ MY CARRD BEFORE U INTERACT!!!
🖍️ !! Cabby/Rusty/Kappy
🖍️ !! ESFP 7w6 so/sx
🖍️ !! ADHD
🖍️ !! I'm still cubetwt plz don't unfollow me",ESFP
732992323173289984,"🐯/INFP-T/a self proclaimed artist

@tdvshs | @USTSHSVirtuoso

YT/FB/soundcloud:MylzPH",INFP
1322121702848028672,"Discípulo do sofrimento.
ENTP com maturidade emocional de 3 anos.
Seja bem vinde{o, a} ao altar de adoração a mim mesmo.
7w6 ~ Caótico e neutro.",ENTP
303363546,"piña colada é o melhor sabor pra tudo | 19y | INFP-T | vestibulanda de medicina veterinária, desenheira e bailarina na escola de dança ✨ Meu Quarto ✨",INFP
1062319466896211969,𝙙𝙚𝙠65 & ENFP,ENFP
1204681488173678593,"(ENFJ-T)
shine like a sirius✨",ENFJ
1321479426375405568,"intp | libra | type 4
| 17",INTP
1304168499380662273,blm ~ she/her ~ infj-t ~ minor ~ ✮ ✰,INFJ
1173712682983284736,"/w e  a r e  b u l l e t p r o o f/

f*ck the cistem

✨trans rights=human rights✨


LGB(TA)

He/Him/His/Él  

|•INTP•|5w4|

ot7 - they deserve the best and more",INTP
1313042399791255552,"「❝수고했어.❞」 • 𝚿 • INFJ 5w4 • #bpdwarrior • ❄🌗 • 💎🌙🔳🌳 • Check my carrd before following, perhaps? (´ ∀ ` *) • Mostly INA with a glimpse of ENG.",INFJ
1319900397583147008,"⳼ENTP⳹
🅞🅣🅐🅚🅤
🄺🄿🄾🄿🄴🅁
                     ʙʟᴀᴄᴋ
༻𝔾𝕖𝕞𝕚𝕟𝕚 ༺",ENTP
701054604809625600,INFP | Ghibli lover 🧀🍐🍅 อยู่ทุกด้อมคร้าบ,INFP
779329332938313728,"joy, white rose.

infp, 9-6-4.

kata mbak bilqis, aku sebenernya banyak yg mau, cuma menutup diri aja, ndekem trus... trmasuk ga make foto profil sebagai ava👍",INFP
1277961681499389953,INFP,INFP
340838359,INFP. Just chillin' and observing things.🔭,INFP
995485049620434944,he/they • minor • bi/ace • INTJ 5w6 sp/sx 514 • aspiring astrophysicist • hobbyist content creator • multiplicity: rb³ (protector: @nk_volkoff),INTJ
837685552031813632,"♌ intp-t she/her


































































































WTB PC Kihno Resonance Jaehyun FUTURE version",INTP
221396367,🌈🐝2️⃣0️⃣⬆️🔬INTP🤯 • ♥️💰💵♥️📖🎓♥️🗺♥️🎨• Personal account: สร้างไว้บ่นบ้าบอเฉยๆ• Feel free to mention or mute/unfollow :) https://t.co/J2BzYO1Mf0,INTP
804989046015623168,⠀☉♍︎|☽♑︎|⇮♍︎ ⠀ ENFP 7w4⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀⠀ ⠀ ⠀ ⠀ en free wheel sur le net,ENFP
253966749,infj + ravenclaw + scorpio,INFJ
163196860,"MMM 👑 INFP
I've finally found that peace I needed. Now, let's rebuild.",INFP
1147587783323766784,"ocean                                                       
                                           
he/they | istp 5w6 | 18 | turkish",ISTP
65908970,"""Patience. Use the force. Think."" #INTJ #teamironman, I solemnly swear that I am up to no good. คนกลางคืน",INTJ
943844416179097601,"ela/dela
intp",INTP
1295033657070059520,"Nothing to share *-*
I'm INTP *5w4* , I'm Kakyoin",INTP
1268528327347720193,"'an ocean of marshmallows on some serious meds.'-@TheRealENTJBot
'It's like your DnD alignment is Chaotic Chaotic'-@EntjTime
I'm still a virgin and a minor",ENTJ
1265667081887903744,♡She/They♡17♡INFP 9w1♡ ★,INFP
1073264179480616960,"pfp - endlessill // кажется я infp но...shin kinnie 



anri warhol best girl ever 💖💍



mysme - yttd - dr - hc - btvs 💚",INFP
1312116958813474816,Matcha tea and stardust pulse through my veins. (🖼: Sara Murtas) INFJ. 9w8. she/her.,INFJ
123967266,"INTP 4w5, j'aide les créatifs à survivre via leur passion

Designer chez @bimstragency . 
 - https://t.co/hGVjO1EQ5j 

compte pro : @sparkedbyx",INTP
1261127961052241920,"sim, sou ancap: ✨anticapitalista✨⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀—⚧ (qualquer pronome) ⚧—⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀  ⠀⠀  INTP",INTP
1112811263304847363,"your not-so friendly neighborhood spoop    



INTP",INTP
895639563015671809,INFP-T ~ BiroAce 'genderfluid' LGBT+ 🏳️‍🌈 ~ 2001™ feminist = equalits ✊🏽👭‏👬👫‏‎ SONE💗밥알‏‏‎🍚once🍭CARAT💎부사단🍊,INFP
1009080432963608576,Lazy Streamer | Animal Lover | Wow Addict | Druid Main | Healer | Freelance Designer | Gamer | Enfp | Positive Vibes ++ ❤🐈😍🐦🍀,ENFP
1301969650813730817,"‏💫💫لا اله الا الله محمد رسول الله💫💫


‏‏‎‎‎#حرق هجوم العمالقة
‎‎#ENTJ",ENTJ
1276233173119242246,"14 // intp // virgo // 5 // ravenclaw // athena, hades // ILI",INTP
921368164285399042,"赤井秀一天下第一/Akai家族过激推（？）
赤琴赤/赤安赤/柯哀，微雷秀明，秀哀亲情向
mbti：intp-a",INTP
920247493346185216,INTJ ~ 5w4                                    ✨You are your own soul mate✨,INTJ
1107633754724397058,"infp-t ⭒ rawr!!! mostly talk about anime, kws, ljh, meng, apa lagi ya.... banyak... D:",INFP
131132280,ISTP. Don’t follow. I talk to myself too much,ISTP
1437598430,perma tired 😴 | 18 | Film & Photography Student | Mercy/Lucio bot | #ISFP #myersbriggs | @vibinwithparty,ISFP
1048640306998996992,intj 5w4 || SPOILERS,INTJ
852610537,"infp 4w5, she/her • iska🌼|| pshs-evc '19 • upvtc biology '23(?)",INFP
1025492288280186880,"Otra loca de los gatos              
                            
She/her || INFP-T",INFP
1126259552658190336,"That quiet bitch that is actually too much
▪︎▪︎▪︎
INFP 🤓🥳",INFP
906922999181344768,"(she/her) reveluv 🍇;; 17y, intp, pisces ;;",INTP
1227305517464375296,🎞✨📀🎨🌱 🔮🧃🪐🦋INFP-T,INFP
1311161442406510593,"INFP || 04l || she/her
moi c'est jihan",INFP
1313574854835212288,ENFP- Totally worried for my mental health but i’m sure it’s fine haha,ENFP
851772915880153088,🦋ISFJ-T / ESFJ,ISFJ ESFJ
786819512922349568,🍊/ทนม. | INTP-A (?) | cat slave & sleepy man | 18 | แอคจิปาถะ | multifandom | dek64 |,INTP
1114648260,SynZiac/ปุก |INTP| แอคบ่น / multifandom / art acc →@synziac01,INTP
1261979911,"มีดี้ สระอีสองตัว | 20↑ | ENFJ-2? | JJK, HQ, JJBA, gbf, twst | อ่านละเอียดในลิงก์ปักหมุดได้ค่ะ | Display by @Magnolia29_ / Header by @tachishijin",ENFJ
1062590274763862016,Side Acc • ♀️ she/her • ✨Multifandom and gacha hoe✨ • Mostly RTs • INTP • Kinda DM shy • Dead on main acc so I just kinda lurk here,INTP
760226364595310592,She/her | INTP | 5w4 | 🇵🇱native 🇬🇧B2 🇰🇷A1/A2 🇷🇺A1,INTP
1161967012316372993,"Eu gosto de jogar joguinhos =3
✦ 19yrs ✦ Grifinório ✦ Aroace ✦ INTJ ✦ 5w6",INTJ
3130147233,"INFJ rebel with a camera. Author of The Freelancer's Guide To Upwork. I help people with Pinterest, Photography and Freelancing. jendobsoncreative@gmail.com",INFJ
1892701596,yeditepe med/estj-t,ESTJ
1310860005025947649,"Can't define myself well |
{INFP guy}|
From Tarime,Mara,🇹🇿|
Clinical Medicine Student",INFP
748602366950313988,"infj || haikyuu stan 💕💕 ||

lvl 16 - 

gay, any pronoun",INFJ
1302766994643591168,"⊠ ↬ she/her * 𝗜𝗡𝗧𝗢_𝗞𝗛𝗛 ↻ 𝗞𝗥𝗡𝗕▪ INFP 🌿 ❊ homebodч, hαlf dork, hαlf cınnαmonroll ‧ 🌸 Wen Ning supportive account",INFP
1310632527783030784,"Believer, learner, ENTJ, 6w57, she/her.
Planning to live for 100 years, living like I'm dying tonight.
'All the rivers run to the sea, yet the sea is not full'.",ENTJ
1094340075461193731,coquinha gelada infp,INFP
1136061892039008261,21 | entj | 1w9 174 | sp/so | introverted extrovert with high Fi | short entj irl | ☼ ♈︎ ⋆ ☽ ♉︎ ⋆ ↑ ♍︎ | uk | icon made by @ESFreakyP ✨ | priv @sadentj | 🏳️‍🌈,ENTJ
1127697930515881984,"• danganronpa stan entre outros •



  •26/05/19_SYT😔💜🇧🇷 • ISTP • fan account •",ISTP
1266996176836067328,"Intersectional feminist, INFJ-T, 4-5-9, 15 yo, she/it/they, asexual panromantic~ 🇬🇧 🇮🇹 🏳️‍🌈",INFJ
1285308738031714304,fan account | ela/dela | they/them | INFP 6w5 | ACAB 1312 | BLM | dancing queen | ace pan,INFP
955529785295417345,He/Him | INTJ | iM@S • FGO • Identity V • Arknights • Project Sekai • Genshin Impact | 90% rt | Broken Eng/Español/日本語わかりません | gay as hell for my bois.,INTJ
1252733721410711563,"-15 and 19+ dnis // 16, istp, scorpio, bi? // black lives matter // im white",ISTP
446312876,"Sanırım fazla fedakarlık yaparak kendi kendimin hakkına girdim. An INTJ, Asc♉️, ☀️&🌝♌️, 🏳️‍🌈, müstakbel beyin göçü adayı",INTJ
571832473,Civil engineering is loading #ESTJ,ESTJ
1292041062291316736,"I ❤️ 🐈+☕️+🥃+🇯🇵+🎧+🍱+🌨+🐙+ INTP
Diese Handlungen und Oktopoden sind frei erfunden. Ähnlichkeiten mit lebenden oder toten Oktopoden sind rein zufällig.",INTP
1166057445183152130,✨~olá~✨ Ana Rita / 14/ ela/ INTP,INTP
1295157849493037057,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏
‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎#FightLikeAGirl
#INTP 5w6
#Weeb
#太宰治",INTP
141592702,https://t.co/KJ6LQab7BP #ISTP-T,ISTP
3428976928,"ENTP-T 🍪
vinda diretamente do inferno 🍪
crepusculete 🍪
biologia-ufmg",ENTP
1170344672927109121,"18 | He/Him | ENFJ-T🧑🏻‍🏫 | Slytherin🐍 | ♐ | 🇮🇹 | 🏳️‍🌈 | Ultimates: 박찬열, 김석진, 김남준, Lucas, Mark. The Office: S2 E6, 21:05",ENFJ
1305859282022400000,"""i would die for her...""
⛓🖤🌹
she/her | INFP-t | sapphic | atea | minor
⚠ bestemmie - neapolitan slurs",INFP
1301200866838482956,"THEY!SHE ☆ INTP-T ☆ meji, preru, ces",INTP
1150454928776859649,"‏‏‏کجا میشه فهمید تو ذهن آدما چی میگذره؟!
‎‎#infp",INFP
1147587932020236289,1996 | INTP-T | an account solely for being an INTP freely | Not a native English speaker,INTP
981846099068506113,ナイス 一 INTP • 03s | benedict c. | twh | marvel | conan : akam shinkai | sherlock holmes | hannigram | 一 multipotentialite x complainer x musicaholic,INTP
843284916037025792,intjㅡvillains are modeled on this personality type。,INTJ
21489242,Former corporate cog to Claircognizant Medium who enjoys writing about #Music #BlackLove #Futurism #Paranormal | Aqua stellium ☀︎ Leo☽ Leo⇡| ENTJ | B1 | TMC🏁🔞,ENTJ
67079650,رحم الله الشهداء و شفى المصابين و ارجع المفقودين الى اهاليهم.ENFP#,ENFP
1304385719696265221,"any pronouns • intp 5w4 (?) ♐ • how do i make a bio •
 https://t.co/bmDWsNsZM3",INTP
873486901810012160,I'm just playing life. 'The light that u discover in your life is proportionate to the amount of the darkness that u are willing to forthrightly confront'. INFP,INFP
1293790451732852737,"intp 9w1, i made this twitter account for research. 14, she/her",INTP
1269664961485144064,"ENTJ-A || 8w7 || demi-ro                                              
dead inside but still lovely.",ENTJ
1211439920142667776,"INTP-A be weird always be part of me✨🤯✨
         📍BTS DAY6 nge Fanart dikit😗
https://t.co/smFxeSqyOV",INTP
1206589896095338497,"Carlos
20, He/Him
Student of International Relations
«崇高»│Duke of Sealand │ENTP
ENG//ESP",ENTP
1269294568819785734,"Woodland Creature, (She/Her), Bisexual, ADHD, INFP, Enneagram 4, D&D player, Optimist and Life Enthusiast.
#BlackLivesMatter #ADHD #Sexworkiswork #Wearamask",INFP
1303478516462256128,"‏‏لها في الحياةِ طبعٌ رقيق 💕
INFP-T",INFP
250614887,"I know that I don’t know. Interested in finance, philosophy, culture, geography, environment, memes, astronomy, international relations. INFJ.",INFJ
941394805321601027,"ela/dela |  minha vida é um surto, mas isso não quer dizer que eu não tento achar motivos para rir da desgraça | INFJ-T",INFJ
305455849,infp-t 💚 the gifted graduation hype girl 💚,INFP
1303474721468690433,INTJ-T ° 20 ° bilingual,INTJ
976082054910636032,@mishacollins • 18 • ♒ • she/they • infp-t • pan • ravenclaw • the one thing i want... it's something i know i can't have.,INFP
1293501835387396096,"Human Disaster, Socially Awkward, DogMum, Asexual, Introvert, INFP, FanFic Obsessed, Stucky Obsessed, Coffee Addict, Anime, Art, Pretty Things, Sad Stuff 🦩",INFP
1284797619693211648,"{Vent account is @Perklemptwo } They/Them, boyflux nblm, minor{INFP-T} Banner by @Altan_Blue {NSFW DNI} Mac and Elmer stan",INFP
532522106,Vegan • Leftist • Atheist • INFJ • daughter of sappho 🏳️‍🌈 •,INFJ
4756339966,"pv de @liliangbts, INTP",INTP
1053627223067033602,"2 cute 2 be str8 but still listening to emo bands                         
she/he              a bookstan                INTP",INTP
1280569860196569088,"she/her, minor | ESP/ENG | multifandom – mostly videogames (zelda, FE, AA, Layton, etc) ~ intp",INTP
1265271019977261056,"18yo • she/her • enfp • nerdola, esquisita, kpopper e egirl mono peel",ENFP
1102581844460126209,"✨ people throw rocks at things that shine, but they can’t take what’s ours ✨ INFP",INFP
3268264159,INTJ...,INTJ
1291095020179787779,#ENFP | ♒︎ ☉ ♓︎⇡♈︎ ☾ | Hufflepuff,ENFP
1278352364,"drama e prosecco • INFJ 🍂
she/her",INFJ
1297896304878657537,"New Account | INTJ, 22.",INTJ
1196823881308397570,"𝔸𝕥𝕥𝕖𝕟𝕫𝕚𝕠𝕟𝕖, 𝕔𝕠𝕟𝕥𝕖𝕟𝕦𝕥𝕠 𝕗𝕣𝕒𝕘𝕚𝕝𝕖 /INFP/ she, her",INFP
1082785371711332353,INTJ | ♥ | UT,INTJ
896672304356143104,#𝖇𝖙𝖘 #𝖙𝖆𝖞𝖓𝖊𝖜 #𝖇𝖗𝖎𝖌𝖍𝖙𝖜𝖎𝖓 #J9 #𝖔𝖍𝖒𝖐𝖆𝖔 #INFP #Enhypen,INFP
1298952732628471809,"19 |f ENFP | 7w8 | Leo ♌️| Sometimes I’m funny, and the other 95% of the time I’m just cringy af. Yes I’m straight. Yes i do exist.",ENFP
1298859400367468544,I'm an Aries ISFP. I just graduated in a degree in BSc Psychology. Since I'm basically unemployed I'm blogging my wellness journey!✨She/her.🐏,ISFP
2391533238,INFJ,INFJ
891980989311860736,infp ¹⁹⁹⁹ — a sincere apology to all victims of my social awkwardness. / call it cyber account or anything.,INFP
2422068241,"ELF (Petal 🌻 Jewel 💎)
Super Junior 늘 고맙고 미안하고 사랑해요 💙💙💙 #EunHae
Broccoli Nation brought me back to Twitter 🥦 #BetweenUs2021 • She/Her • '99 • INFP • 🇲🇦",INFP
185407183,#Kpop #Apink #INFP,INFP
1297373626405191683,𝖉𝖊𝖕𝖗𝖊𝖘𝖘𝖊𝖉 𝖎𝖓𝖉𝖎𝖊 𝖌𝖎𝖗𝖑™ • INTJ • future video game developer,INTJ
1397397198,"she/her, 21, black lives matter, ACAB, this account is a safe space for LGBTQIA+ | ENTP (🅱️oro)",ENTP
1216385521464668160,"she/ her | 15 | intp | icon by: @polepinn | art acc: @eeveeyao

this is my personal acc, dont follow if youre easily offended",INTP
1284286216880324608,UNUS ANNUS ACC @MementoMoriUA | she/they/unus/annus | The P stands for Procrastination | minor | an extrovert-leaning ambivert | ENTP 2w3 | Priv @bigstupidENTP,ENTP
1275835208277856263,cause I was just informed that hitler was an INFJ | he/him | follow me back I want friends | 3w4,INFJ
1154241047553335302,بحاول أجد في متسع الحياة حيّز ضيق أطلق فيه العنان لكل مايدور في عقلي. #ISTJ,ISTJ
1251185579435470851,intp // её нежное беззащитное и ранимое существо @ferskenritsu ♡,INTP
1249333045020299264,"ISTPs 💔 // going through ✨things ✨ // NSFW sometimes 
she / they / that bitch",ISTP
1293029097636012037,"ENTP/
4w5/
20 Anos/
Arujá-Sp",ENTP
1284631687100534784,sara ❖ she/her ❖ 18 ❖ INFJ with high Ti ❖ ceo of insightful essay threads and cognitive function dynamics ❖ artist once in a blue moon,INFJ
1103027977128951809,أعطِ كل سائلٍ مطلبه..أما أنا فمطلبي حفنةٌ من المجانين #ENTJ🧠🍌,ENTJ
1280979863218814976,𝖓𝖔𝖙𝖍𝖎𝖓𝖌 𝖒𝖚𝖈𝖍 𝖏𝖚𝖘𝖙 𝖆 𝖋𝖆𝖓𝖈𝖞 𝖋𝖔𝖓𝖙 𝖎𝖓 𝖇𝖎𝖔 / INTJ-T #MeToo #BlackLivesMatter,INTJ
1188806606403723264,#MULTIFANDOM • chaotic with sucky social batteries • ☄🔭🎨🖌 • 🎤🎸📝💭 • #INTJ #3W2 #sosp #LIE #BIOGD • ♏♑♓,INTJ
1296105318267723778,"INFP. 
#justiçapormariferrer",INFP
1203324657631412224,"💛🐈⭐ | infp | 20 yo | daydreamer | ?artist? | genshin impact, obey me, haikyuu |",INFP
1140370884,Φιλοσοφία❤ψυχολογία / Marxism☭ / ENTJ,ENTJ
1295650382664925184,"#removetherainbow #antimap #childrenslivesmatter

Here to sift through your garbage...

♀️Female/ ♈Aries/💍Married/🌈Pansexual/😻Cat lover/🤓INTJ/☕tea lover",INTJ
1122972599779074048,Big sister • Donor • Healer • Thinker • Reader • Listener • INTJ • she/her,INTJ
3120568609,♎  INFJ - T  /Dana's legacy. Just let me show you what art and love means through me. // My demon @irxnveins_,INFJ
798640606612426752,"ceo of cows || demiro ace rights bby || infj 5w4 🤡 || i disconnecteth (mostly ia for school)

phannie but also multi",INFJ
1022257125421187073,Wren - Demigirl - Canonically uses: She/They/It - ENTP 4w3 - Mage of Time - Bi(romantic and asexual) Runs @day_tbh - Banner by @confusedophan,ENTP
1283743124410572802,Star Wars✨Rey stan | slytherin 🐍| anime | hokie sports 🦃| 3w2 | ISTJ | TPWK💚| dyad to @reveriemou ♥️| wifed up by @hereforthefic 🥰| header by @reveriemou,ISTJ
1221555753342906383,INTJ🕸️Sometimes careless🕸️Anime lover🕸️series addict🕸️Real Madrid geek🕸️Medicine student U of Bahri,INTJ
943834067337973760,"entj 3w2 sp/so 29' geminiana (mas com asc em touro, então tá tudo bem) ela/dela
| conte sete estrelas e sonhará comigo |",ENTJ
1186050313415020545,She/Her | INFP | 🇦🇷 | ٩( ᐛ )و,INFP
994242014496591873,18 | estp | she/her,ESTP
1197900940294213632,"Move baby, move baby, I'm in love down on the weast coast — intj — ela/dela — perfil combinadinho com a @Annchorage",INTJ
1267903490980040704,#NIKA: Stream Someone To You//she/her//20yo//enfp-t//cancer ♋//lesbian i chuj,ENFP
78816778,"Time doesn't care even if you're in pain. | INTP, maybe. Evolving 5w4/6. Mostly self-talk + shitpost? 👾 Don't follow unless it's a matter of life & death.",INTP
816065896192114689,każdy może być księżniczką 👑 | nurse | chaotic writer | slytherin | INFP,INFP
4267317076,| p*land | pan | leftist | INFP-T | pfp by @milozabownica 🥺💚 chociaż na kilka godz chce te śliczna zabcie na pfp,INFP
2162961591,This bio is under new management. By the order of the Peaky Blinders.| INTP |,INTP
2575084784,A future Billionaire إن شاء الله| In love with Nutrition 🍫 🍭 |#INFP @MaherZain,INFP
1279084400345415680,Twenty-something female #INTP | 4w3 🌸🙆🏻‍♀️ Music is my favorite thing 🎶🎧 Creativity makes me 😊✨🌈,INTP
3988582155,s-her. entj. slytherclaw. addicted to books.,ENTJ
941925030455336960,"Call me Amias or Kross🥀28//Female//(She/Her)//Biracial//INFP-T//Taurus//BLM ✊🏽✊🏿✊🏻

Icon by katagro
Banner by @brittkneeze",INFP
347030898,"INFP-T
|
𝘐'𝘮 𝘢 𝘮𝘦𝘴𝘴 𝘰𝘧 𝘶𝘯𝘧𝘪𝘯𝘪𝘴𝘩𝘦𝘥 𝘵𝘩𝘰𝘶𝘨𝘩𝘵𝘴 -𝘑𝘰𝘩𝘯 𝘔𝘢𝘺𝘦𝘳",INFP
726708552761532416,"'no man, no matter how great, can know his destiny'.
merlin | harry potter | sherlock | lotr |
rock bands | marvel | Pharma Student | Rome, 19
INFP-T she/her",INFP
700264381,"19 , infj , ela/dela , desenho de vez em quando , publicidade e propaganda",INFJ
1219658804284936192,| INFJ ♑️| TH 60% ENG 40% | She/Her They/Them CLAIRE | 13 | Artist & Author 🎨🖋,INFJ
1214271228,"itskinnon mas na vdd its agatha, disappointing i know • do no harm but take no shit • gryff • intp { she/her • ela/dela }",INTP
4575241215,blm • infj-t • she/her • eng/fr 🔞,INFJ
1151537490467201024,"Catholic. 22. taken ❤️pro-life + anti-racist, anti-sexist. mental health matters.  TØP/ P!ATD stan. disney girl. ISFP. Ben Solo 💔 REYLO. banner by @joyfullyok",ISFP
728251604395278336,Self-taught artist | 14 | Gemini | INTP 5w4 594 | Chaotic Neutral | Melancholic-Choleric | your favorite lizard🦎➪ #blacklivesmatter,INTP
3153456170,"18y
ENFP-A",ENFP
3439287389,chaotic good | enfp-t | ela/dela,ENFP
1118071819788005377,"🌸Make LOVE🌸

'Cause with my mid-youth crisis all said and done
I need to be youthfully felt, 'cause God I never felt young

INFP
(picrew art by @taggedisabel)",INFP
1229150505974276098,INTP. AOT spoilers are wellcome. ESP/ENG. Because i was born into this world.,INTP
1120556245834878976,Tu chica favorita ✨💜 INFP//🇬🇹🇨🇳,INFP
67518412,"Gestora cultural. Escribo cuando lo necesito y canto cuando no puedo hablar. Me gusta el anime, dibujar y leer. |☀️♐️🌙♒️🎇♌️ | INFP | 4w5 |",INFP
1250251168867143681,"She/her
ENTP-T",ENTP
1266191620749303808,•Christ Follower •Minimalist •INFJ-T,INFJ
