,twitter_id,bio,types
29,92715866,"i 'm ▪c h o n l y▪
the content writer 🖋 who love 🍿 to always stay at home🍺

yes, i'm INTP and i love to be",INTP
30,1302375464418324481,"Ele/Dele, 20,🇧🇷 ; PT-BR/EN-US; INTP 4w5 458 sx/sp True Neutral
*Tod und Verklärung/Metamorphosen*
Start a Revolution!
Sapere Aude
fan acc. multifandom
💚💙 真遙",INTP
31,102872604,"Business and Developer. I dream of a world where UX and back-end can hold hands and run together in nature. 
ENFP, Entrepreneur, Multiple hats wearer",ENFP
32,1305014436168519683,INTP-T || 14 || She/Her || An 🍎 keeps anyone away if you throw it hard enough.,INTP
33,1305930521403293696,Hard Work pays off| INFP🍂 SCORPIO SUN,INFP
34,1174400893002965003,Sometimes the truth is Toxic./ Mail INFJ/ Rhyme writer/ Starving Artist/ Rap Stan,INFJ
35,1305164402254061568,"LII #intp 5w4 sp/sx  
-Behind the robotic exterior, a human silhouette-",INTP
36,3090058434,"✨🌷🍓Myday🍓🌷✨& Once//angsty//Anime enthusiast & muslim🌻💛//Sugar, Spice and everything nice~//🐸frogs & ferrets🐸// F!istp & Kurapika fan account // catgirl",ISTP
37,837003278378549255,"20+, intj 5w6 (531) sp/so",INTJ
38,1145366077385449474,"Aspiring psychology life hack #Youtuber with an #INFJ personality, #psychology degree and big dreams. Also creates simple #life_hack and psychology fact vids! ✨",INFJ
39,1283624958275522566,"EXOL, MOONBEBE̟̟, hln + L | infp | don't follow me!",INFP
40,1280831791654408193,"call me shrimp. she/her, 16, enfp-t, and i have enough energy to fight god. also a 9w8 or something i forgot enneagram existed

i sadly have menthol illness",ENFP
41,838460548723376132,"Catholic, ISTJ, 1w9, former Marine, SQL Server DBA, tabletop gamer, pool player",ISTJ
42,1067236862752956416,BS 21k🏆| Me gusta la animación | 🏳️‍🌈 | Estoy aprendiendo Unity | Me gustan los juegos de celular | ESFP | #MoobloomGang | Pasen memes de Barbie,ESFP
43,1014092899854712833,artist 🎨🎻･✦ INFJ -T 🇮🇶 ･✦Crime Fiction writer･✦ psychology addicted ･✦ 🌐French translator 🇨🇵 ･✦5w1 ･✦philosopher ･✦ anime 🎮･✦ multicultural,INFJ
44,1298421062527365120,"I am an intuitive writer, MBTI enthusiast and an INFJ.",INFJ
45,941285665144233984,القادمة من الوادي🍄| INTP,INTP
46,1281243243523592195,😘INTP😘stan account ?? do they deserve it tho || istp with high ne & fi,INTP ISTP
47,53056331,"Tweets about life, fitness, food, health, science 😊
entj",ENTJ
48,1212816238306414592,INTP | Ravenclaw | Animal lover | Annoying girlfriend | Afro-Caribbean,INTP
49,1283029278364520451,"ENFP, Female, 13, an absolute idiot, my friends think I'm a communist, I wish bios could be longer
Currently reading comments on r/Socionics trying to understa",ENFP
50,9039202,"🤓 Personalities & people. Happiness ↔️ meaning. Houston sports 🚀⚾️🏈& LSU FB 🐅 | #ENTP | 7w6 sp/sx, 793 | All-in with @roamresearch (#roamcult Believer)",ENTP
51,1271281738430332931,"my life is a Ni-Ti loop | INFJ 9w1 926 | MINOR, she/her pronouns",INFJ
52,1219706742717677568,"Twitter is interesting


MBTI: #INFJ",INFJ
53,251719262,"🖋 | 📚 | 🎨 | #INFJ | ""أثرُ الفراشةِ لا يُرى أثَرُ الفراشةِ لا يزولْ"" .",INFJ
54,558320764,she/her - INTP,INTP
55,1291471294681223176,"ISTJ, Blogger at PracticalTyping, a 16 types and cognitive functions blog with anime and fictional character analyses as well",ISTJ
56,79101795,"When I say I don't care, I really don't. 
Leave.
INFP",INFP
57,80496411,"A 6'4"" growling creative - Deep thoughts and lighthearted observations - INTP - Chaotic Neutral - Your local tea drinking kinkster 🍵📸🎮🎧 - he/him",INTP
58,155840097,Documenting life as it happens. ENTP 7w8 af. Developer. https://t.co/qEtqdL0iaO,ENTP
59,2790808362,Who doesn't like yogurt? • INTP,INTP
60,1024469328463372288,I will rise above it all ✨🌧 | ♓️-♒️CUSP| INFJ |,INFJ
61,1296043086116605953,INTJ 5w4 || How can a man of consciousness have the slightest respect for himself – Fyodor Dostoevsky. || Shit posting and banter.,INTJ
62,746097046491324417,"Mom, Realtor, ENFP. FBR Resister, we must keep fighting. I LOVE NE Ohio. Trump sucks. uninvited DMs=instant block",ENFP
63,820655984,#BlackLivesMatter • ENTJ ♕ • Aqua/Cap ☼ • Scorpio ☽ • Cancer ↟ • Aries MC •,ENTJ
64,31465322,"The best me I can be! 2 amazing chicklets, a well used yoga mat and a love/hate relationship with my running shoes! Peace, love and light to all. #200YTT #INFJ",INFJ
65,1189499824871223296,"ʍąɾʏąʍ🍭💘
🍜NYONYO🍜
🍬ENFP🍬
💛OTAKU
💙ARMY
🖤ʍʏ ɮɨʀtɦɖaʏ♡22/5",ENFP
66,1225922245647749120,My #ISFJ #MBTI type brings all the cray cray #INTP stalkers to the yard...,ISFJ INTP
67,1291040170268139521,INTP,INTP
68,1290829311482699776,Boy Mom 💙 She/Her 💖 Bisexual 👩🏼‍🎤 Beta Quadra | Dio Sexta | ♉️ ☀️ ♒️ 🌙 ♓️ ⬆️ | ✨ISTJ {8w9 368 sp/sx} LSI {EFVL} RCOEI✨,ISTJ
69,16522603,Author of Productivity For INFPs. Multi-genre fiction writer. Indie author. INFP! 😜,INFP
70,45528467,#Infj,INFJ
71,1190657296910536704,#ENFP #2w3 SP/SX • She/her • Why go with the flow when you can embody the storm,ENFP
72,1892270323,"Social Pastor, Gupabal. EFL Teacher, Ingye-dong, KR. MDiv (Church in the City), BRE, TyndaleU. TEFL, Oxford Seminars. Husband, father. ENFP.",ENFP
73,1286413214905860096,#Doctor  #Learner #INFJ #Devote #Bookworm #Sapiosexual #demisexual  💙🌼🙏🌼🌈🦄,INFJ
74,1285872374840283136,"Certified #MBTI Consultant, Certified #Lifecoach, Writer, Artist, Humanist, #INFP, theatre & arts lover, photography, educator, facilitate/inspire, empath",INFP
75,1287760592086790144,INTJ. Ni/Fi. ♐ 1w9. In with the out. 😁😎,INTJ
76,1284594666210500610,the s in isfj stands for stupidity | ISFJ 2w3,ISFJ
77,1284654799837818883,propane is the best thirst quencher|dont forget to wear sunscreen (and eat it too)|15|she/her|gay|not ESFP just RPing|owner of a barbecue shop|#SHORTENTJ,ESFP ENTJ
78,1912468422,"Wife, Mom, LPC (in progress), Patriot 🇺🇸 Free thinker 🐸 Truth seeker “Miracles occur naturally as expressions of love.” 🌙💫🌱#DivineLove #ACIM #INFJ #KAG",INFJ
79,1025678596747091969,INTJ,INTJ
80,947349916644294656,INFP in search of greater understanding of human interaction ◦ Jesus is my savior ◦ Enneagram obsessed 9 ◦ Nature lover ◦ You’ll never regret being kind,INFP
81,1151923187862712320,"BEST SELLING ROMANCE AUTHOR * SONGWRITER* INFJ * NOMAD * ANIMAL RIGHTS ACTIVIST * WIFE OF ENTJ * MOM TO ENFJ * LGBTQ ALLY
#kindleunlimited #romanceauthor #infj",INFJ ENTJ ENFJ
82,872422877060108288,#NAMJOON: #BlackLivesMatter everyday | #INFJ 2w1,INFJ
83,1154485288217055232,"Hey there I'm Chris, #INTJ and a #MBTI Certified Practitioner, here to help you discover yourself and understand others.

https://t.co/IPIhIsUsua",INTJ
84,1265200532957741057,"#SHERLOCK: and only a 𝙛𝙤𝙤𝙡 argues with his doctor. — ☆ @catraphe 

your local enfp / flaming circus. screams abt keira knightley, sherlock & emo music.",ENFP
85,1234633176829616128,"Patriot, Mom, INFJ,
US NAVY Veteran, Trump supporter
🇺🇸❤🇺🇲",INFJ
86,1281204337516195841,"𝖉𝖔𝖓'𝖙 𝖙𝖔𝖚𝖈𝖍 𝖒𝖊, 𝕴'𝖒 𝖆 𝖛𝖆𝖒𝖕𝖎𝖗𝖊 - ENGLISH IS NOT MY FIRST LANGUAGE SO IM SORRY FOR GRAMMAR MISTAKES - enfp 4w3 ANGER",ENFP
87,1080456800468647936,Infp 4w5 🎭🎨🪁🤹‍♂️,INFP
88,1278323819514642432,"INFJ/ENFJ ✨/She/

I just say what I feel.",INFJ ENFJ
89,820107221573009408,#NIKOLA: OMG hi queen :) // Roxy/Viewmo // ⚢ // ENFP/Aquara // Stinky TMA fan // white // She/Be/🛸 // pfp: mcwebby on tumblr,ENFP
90,1208891083406663680,INFP,INFP
91,1103895189624516609,"▲Accounting student▲Engaged💍▲Entrepreneur▲🕊️➡️¿💙💛?
▲📚Austrian&Cynic▲Meritocrat Nationalist▲INTP-A-5w6▲En/Es
▲PFP: @n2hellhell▲#followback & Unfollowback▲",INTP
92,51316751,Perpetually aware self-transcendent integral G-T dancer spiritual INFJ-A 1w9 so/sx claircognizant heyoka selfless light-bringer passionate coach Stoic visionary,INFJ
93,1277000946241769472,Getting by. INFP 4w5,INFP
94,1063332063032631296,"not INFP -
e to the i pi plus one equals zero",INFP
95,1278059212703248384,¡INFP! 9w1 sp/sx. • Stressed 25/7 • LG(B)T+ • ♋🔆♓🌙♎⬆️  •  Vegan🌱  •  ENG/ESP • 21,INFP
96,1937495941,#INFP,INFP
97,1277366685817876481,"- estp 5w6
- she/her, they/them",ESTP
98,4715289642,"✨ your guardian angel ✨ 

★ ENTJ - ♏ rising - ♉ sun - ♌ moon
posting memes and dreams at 500 mph 
💜 pfp by @mirrysays 💜",ENTJ
99,744260002593017856,I just don't know anymore... but I do know that I don't want you to DM me. 1-800-273-8255 #MentalHealth #INFJ #SPNFamilyForever #TrueCrime #OurTribe #Browns,INFJ
100,1277441795341811713,"INTP. 9w1 so/sx, probably. 24. Catholic. wannabe linguist.",INTP
101,974613264909844480,infp:4w5 got that frog meme daydreaming look,INFP
102,1276634927560298496,MBTI enthusiast & INTJ-A 5w6,INTJ
103,836813328,"INFJ, me gusta leer y escuchar música!!! Me encanta aprender, así que hago muchas preguntas! jajaja
Public Accountant, MPA",INFJ
104,1275246039751163906,16 personalities be like: you are infp ❤️ ..no bitch!! you're an intp 5w4!,INFP INTP
105,475574584,wife•mother•nurse•friend•INFJ,INFJ
106,485069302,"👽Quiet adventurer, human & animal health obsessed, full-time dreamworld fabricator, INFP👽",INFP
107,2203166112,"an isolated lazybones Blink , to be me ,romantic INTP.",INTP
108,1274819937664720897,I’d imagine there will actually be a lot more of my thoughts on here as opposed to memes on IG so I guess that’s fitting 🤔 INTP 9w8 962 sp/sx,INTP
109,2502034550,I use this account as a defence mechanism|ENTP(apparently)|Just someone's beautiful thot|7w6,ENTP
110,1010824787319574528,"Father of five, drummer, SW professional, personal development, lifecoach, HSP, INFP",INFP
111,1314002340,could be an INTP with high functioning Fi 🤷🏻‍♀️,INTP
112,34783176,"Obsessed with animals. Hufflepuff INFP. I 😍 films, music, books, food, F1, politics, GoT & puns. Views here my own, and usually very silly.",INFP
113,1248129252572033030,"Graduated student in SHS 81 JAKARTA
INFJ-T 4w5
I love philosophy, maths and space science.",INFJ
114,1106523213113249792,"INFJ & pisces sun, scorpio moon.",INFJ
115,1274693488441991168,"Finance and accounting 📈
Bosnia 🇧🇦
#ENTJ",ENTJ
116,1273869869646217218,"ENFJ. changing the world, one 💖 at a time",ENFJ
117,1273764603239952384,| Thalassophile | INFJ - T | 2w1 | writing link:  @chjmirthsenstvt | Instagram: mythicalInfj               | Tweeting about MBTI (MBTI account),INFJ
118,9806352,INTJ 5w6🔮Lesbian 🏳️‍🌈 Web Des/Dev 🌐 Business Owner♟Wildlife Biologist🐬Sustainability: Planet-People-Profit 🌎 #blacktranslivesmatter,INTJ
119,1066060534204780545,Libra ♎☀️ | Virgo ♍🌙 | Sagittarius ♐⬆️ cosmetologist | spiritual af | ENFJ I straight up use twitter to vent and sometimes it’s too much.,ENFJ
120,1272269513376051205,"she-her ❀ ENTP ILE-Ne ❀ 7w6-4w5-9w8 ❀  sx/sp ❀ SLUEI ❀ #coldwheelsnation ❀ new main: @spookythesnacc ❀ 
@istjester is da cutest 💜💙💜",ENTP ISTJ
121,47505919,Relacionóloga Internacionalista y Políglota en construcción INFJ 5W4,INFJ
122,1126585069106339847,she/her | slytherclaw | infj 9w1 | virgo | lawful good,INFJ
123,3823682535,you are where u go alone ..... #intj,INTJ
124,1250946966797811712,"22, LLB Grad🎓, (generally) apolitical & athiest.
ENTj-8w7",ENTJ
125,4040750187,Not your typical Christian. #INFJ #6w5,INFJ
126,1260887991888814080,"36, he/him • ILI-Te | RCOEI | 1w9 sp/sx (152) • BEng Manufact. & Mgmt. Eng. • Secular Humanist • 🏳️‍🌈 Ally • (priv: @INTJovialDark)",INTJ
127,2769374298,"i'm suffocating . . . is that a bad thing?

infp",INFP
128,1266876448087969792,"Rising Cancer, Taurus Sun, Virgo Moon 
ISTP 
Enneagram 8
Life Path #3
👰🤵🧑🧑👩👩👶
Mom & Mediocre Wife",ISTP
129,1003032520940773376,"she/her | INTJ | 3w4 sp/sx (351) | “Your boos mean nothing, I've seen what makes you cheer!”",INTJ
130,716006607604154369,"i aim for sweetness and softness to take over my entire being /// fujoshi, libra ♎️ isfp 9w1✨",ISFP
131,1258465828162490369,"MBTI Youtuber, INFJ Personality. 
Psychologist, coach.
Sharing insights about cognitive functions, meant to raise self-awareness and boost self-development.",INFJ
132,1246584301149401090,"hurt and tired. just stay away
INFJ 845",INFJ
133,1256325719778623493,"INFJ - Poetry - Stay awake. Speak properly. Be honest, or watch the hell out. Because things will come your way that you just do not want to see at all. -J.P",INFJ
134,1097477587029450752,~INFP 9w1~,INFP
135,15260910,💜ENFP💜SO 7w6💜God & philanthropy💜Obsessed w/purple💜Music Nerd🎵Love swimming🏊🏽‍♀️ watching baseball⚾️hockey🏒wrestling🤼 💜Tea Lover🐬🧜🏽‍♀️,ENFP
136,38818613,Think of all the beauty still left around you and be happy. - Anne Frank || INFP 9w8 sp/sx || 21 || Motorsport enthusiast || He/Him || #BlackLivesMatter,INFP
137,894292659594039296,Slytherin 🐍 ENTP TaeKook shipper 🖤BTS x 1D x The Neighbourhood x Halsey x Lana Del Rey 💸,ENTP
138,1252817541874847746,"#BlackLivesMatter
phd student
INFJ 1w9 sx/sp
melancholy-phlematic
RLOAI
he/him",INFJ
139,1263971240110206976,I'm a Pisces and an INTJ,INTJ
140,977247553,"Honestly just here for MBTI, Enneagram, nerdy shit, and food. INTJ-5w6-514-Sp/Sx.",INTJ
141,1127382691379281921,"i chose the red pill. 💊 9̶0̶s̶ ̶k̶i̶d̶.̶ categorize me i defy every label ~ web developer ☕
isfp❣️",ISFP
142,1017178140,INTP,INTP
143,452216136,"I don't do social media but here I am scrolling anyway
INFP-T",INFP
144,755517535060103168,"Sunshine mixed with a little hurricane😁
#enfp #mentalhealthenthusiast",ENFP
145,1258826492890550272,intp_A,INTP
146,1130394650584313856,"Chemical Engineering Student. Interested in Science, Languages and Psychology! #INFJ",INFJ
147,1262313273698816000,"17
•
Yeagerist
•
Intj 8w9",INTJ
148,1016060366885879811,"ENFJ | 2w3 |♌︎ ♈︎ ♋︎ | psychic bisexual energy | Jungian personality theory, individuation, shadow integration, astrology | brand strategy @novasolisco",ENFJ
149,122244563,"future-oriented; enviro-art/design/tech. gardener, maker, aspiring earth bender.  ♍️ ♏️ entp LG(B)T 💗",ENTP
150,765282062328823809,"21• she|her •
estp ♤
shitposter)(mbti)(astrology)(✨",ESTP
151,768012685,#ENTP • #8w9 • #sx,ENTP
152,1261769196553359362,"She/Her. My interests include science, dancing, gaming, typology, and much more. INFJ. Black Lives Matter.",INFJ
153,1261761770739437573,"I'm finally catching up with social media.
Good or bad thing tho
《INFJ~Virgo~Psychology~MBTI~Cognitive Functions~D&D》",INFJ
154,772975243736522753,i may be on the side of the angels but dont think for one second that i am one of them | ela/she | istp,ISTP
155,1253117118683512833,#infj #enneagram4 #writer #poet,INFJ
156,1135768708272480257,#INFJ | Frugal Living Enthusiast | #Introvert Advocate | Tolkien Devotee | Cinephile | Creator https://t.co/HoLKMGEkjc.,INFJ
157,1259943526764339205,INTP | she/her | I'll say stuff,INTP
158,1249000833842401281,"Father. COVID19 dodger. INFP and Gemini (so, a lunatic)",INFP
159,1130449829887434752,Male|25|Bi/Demi|Furry/Anime Artist|Music Nerd|INTP I occasionally post my art and whatever is on my mind,INTP
160,1108039260333133825,"‏‏الحلطمة على كل شيء، وأحياناً حركات مراهقين. ENFP, SHE/HER
  ‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎#تيم_سكيز ‎‎‎‎‎‎‎‎‎‎‎‎ ‎‎‎‎‎‎‎#EndSARS",ENFP
161,1159176384092225536,"somewhat funny, very chaotic. ENTP/sarcastic buffoon. public relations uofm ‘20",ENTP
162,1258218794905858048,she/her enfp,ENFP
163,1240676927955968000,"PhD candidate, photographer. INFP.  Depth/archetypal psychology. Honors indigenous wisdom, decolonizing, and soul-work.",INFP
164,152818415,she/her | whatever it takes | post-grad | INFJ and 2w1 | photographer | fcking truds {what’s gonna be left of the world if you’re not in it},INFJ
165,1258613566896144384,ENTP • Aquarius • Chaotic Good,ENTP
166,29052154,#packers #ENFP #EnneagramType7 #libertarian,ENFP
167,84720070,Nurse. Cursed thinker. Lover of words. #INFP fortunately unfortunately. 'Hell is empty and all the devils are here' -Shakespeare.,INFP
168,1258020115527933957,"Animals | Nature | Gaming | Psychology | Personal Growth | Sleepless Dreamer | INFJ, 9w1, IEI, HSP, Empath 🥰💖",INFJ
169,1258043906463133697,#infp #infphumor #infpmemes #infppersonality #infppersonalitytype #personality #beinginfp #infpstruggles #introvert,INFP
170,1222092868589744128,"musician, anime fan, bisexual, INFP 5w4, he/him, minor, #blacklivesmatter #blacktranslivesmatter",INFP
171,1257953317818265600,♏️/🐍/ENTJ,ENTJ
172,1214256087613857792,"oi pra você que está me stalkeando ❤
aproveite o conteúdo merda dessa conta designada à autocomiseração e ponderações inúteis beirando o vergonhoso

ENFP-T 4",ENFP
173,1247621234,i am not a girl i’m an experience ❁ ENFP,ENFP
174,749927086564016128,"#INFP, #HSP, #MythicalBeast (#GMM), #SpiritualScientist, #Skywatcher, #MovieLover, #Artist, #Writer, #Photographer, #YearOftheRat🐀, #Pisces/#Aries cuspy ♓️/♈",INFP
175,1643669089,"Amo el café, los dramas, la música, leer y dormir. INFP, dispuesta a hablar de lo que sea. I will stan your work if you show me.",INFP
176,3585669199,music | programming | equality | gemini | INFJ | neurotic romantic,INFJ
177,847320799,ENTP-ILE-7w8 sx/sp/so,ENTP
178,1070017021948026880,"21, call me Aren! || INFP || Welcome to my art and personal Twt! || #BLM #ACAB || 💕 @ambrosia_art and @vamprot 💕",INFP
179,1203138208235753477,INFP enneagram type 9w8 hufflepuff 😭,INFP
180,1037992336515649536,"An Aries. A mother. An Earth Lover.
Just a human... being. 
 #Psychology #INFJ #Writing #Ukulele
https://t.co/sng52zzK28",INFJ
181,1239098632583950336,"💻 Angular 10 | TypeScript | Node.js 
🧠 ESTJ | 1w9 | Editor (Cs)",ESTJ
182,35505722,"Choose love over fear, kindness over hate, understanding over self-righteousness.  #HSP ☯️ #INFP",INFP
183,1136270495991681024,"monachopsis / mauerbauertraurigkeit / AÜ. There is no need to guess which witch is the best, I AM THE BEST OF THE REST. / INTJ",INTJ
184,1221898594166300672,"방탄소년단∞아미💜 ESFJ🌞🌻
🐱🦄 솝 OT7 STAN",ESFJ
185,1107097677085446144,people talk over me INFJ 1w9,INFJ
186,1226979498509438976,ansiedade social estragou a minha vida • infp-t • 4w5 • ♊︎,INFP
187,921965882,"Am what I am, Me. #DrawingToday @D12 #Army @eminem @DrDre #INFJ #RAVENS #JustWords #ART #Eminem #DrDre #50Cent #USAMilitary #mentalHealth #Words",INFJ
188,1245432321156812803,I am a qualified dream therapist. I'm also an INFJ personality type.,INFJ
189,2959884345,LII • intp-a • 8w9 • 6w5 • 2w3 • 862 • sp/sx,INTP
190,1196454463986372608,INFP. I am too liberal for my conservative friends and too conservative for my liberal friends 🤷‍♀️. Thinking independently.🇧🇷🇨🇦🇺🇸,INFP
191,4380923067,Mother. Book Worm. Dreamer. Gemini. INTP. Woods. Nature. Bonfires. BPD.,INTP
192,1250343047830704131,Introvert. Picky. Gamer. Says weird shit. ISFJ.,ISFJ
193,4296277759,"Cloud lady, tired of the rain.

20. INFP. Books. Art.",INFP
194,1252267541151592449,"My spellbound heart has made and remade the necklace of songs,
That you take as a gift, wear round your neck...in life after life... forever. (ENFP/9w1)",ENFP
195,1252077887471181828,occasionally creative intj,INTJ
196,979701099429994496,Avi by @teoft_ | INTJ 5w6 | Shitpost & cat enthusiast | Learner,INTJ
197,766293259,"I write silly things on the internet.

#amwritingfantasy #fountainpenlover #gryffinpuff #isfj #1w9",ISFJ
198,1250094207626350592,istp-a ~ 9w8 ~ ♐︎,ISTP
199,897947925107572736,#INFJ,INFJ
200,2575236875,(ISFP 4w5 sp/so) ✨This is the day that the Lord has made. I will rejoice and be Black in it.,ISFP
201,1148399401808699393,I have unhealthy obsessions with so many things & you can't stop me • ENTP 4w3 Slytherin ♑♒♒ • 🖤💚💜 • she/her,ENTP
202,715497026,"24 | ur local synth wave woodland elf | INFP | 4w3 | so/sx | ☼ ♐︎ , ☾ ♉︎ , ↑ ♋︎",INFP
203,1246311338671923200,she/her | mbti nerd & occassionally talks about enneagram ✨ | INTP 9w1 sp/so 952 🌟,INTP
204,1059714266696011777,"25 INFJ5w4 HSP  Tokyo 普段はブロガー/Youtubeサムネ等画像編集者(歴半年)/生活費稼ぎにバイト
累計29万PV越えMBTIブログ 心理学  哲学 ユング フロイト 分析心理学 精神分析学 アドラー心理学 実験心理学 発達心理学 家族心理学 フランス現代思想  毒親育ちこれからは幸せになりたい",INFJ
205,55469709,Shen/Karma main. INTJ. 1w9. Eevee Leftist. TTRPG player and gm. PC Gamer. Volleyball lover. Waterbender. Homebrew map addict. Sitcom and Standup binger.,INTJ
206,2416245080,Burner account for my unfiltered thoughts about typology and life. INFJ. All the enneagram types.,INFJ
207,1241454808185409542,"traveling enthusiast
an ENTP,
be real,be genuine,seek inner peace
English teacher, audiologist to be:))",ENTP
208,1037297600,infjewel✨,INFJ
209,3052971541,"don’t know where im going but im on my way
infp-t",INFP
210,1243750304170074112,"#ENTP #ATX Texan #Marvel #PaleBlueDot. Cold eye/warm heart, acerbic (sorry). Survival is not enough. Born 328 CO2 ppm.",ENTP
211,1247605924203827205,she/her ~ infp,INFP
212,816402827358576641,ENFJ / 3w2/baaaa/Judgement_Forgiveness_Kindness Gratitude_Appreciation of beauty and Excellence/Intimacy_Sensitivity_Receptivity_ Agility_Sence of balance,ENFJ
213,1245306269960777729,"A diary of an introvert with a whole world of extroverts
INFJ",INFJ
214,1247266274238959616,"Personal account ❀EtherealflowerL❀

| INFP | 9w1 | she/her |",INFP
215,50595242,#Playboy Playmate turned Photographer• Passionately American  •Writer• MMA Enthusiast •Media Production• Chronically Curious •Bachelor of Science in Psych• ENFP,ENFP
216,719918870,"Photographer,
INTJ, 5w4, squirrel wizard",INTJ
217,1429510171,INFJ • Grateful Thoughts • IG: @ jwd4.44,INFJ
218,1223269719106555906,"INTP-A
اعرف حاجة عن كل حاجة😉✌",INTP
219,1244258920132050944,"basic ESFP thoughts. we're not all party and play, actually.",ESFP
220,1595824928,he/him istj 5w6,ISTJ
221,2307948594,INFJ | Empath | HSP | Old Soul | Ravenclaw | He/His,INFJ
222,975397994207105024,"👑God-lover|
👤Leadershipenthusiast|
🤓INFJ-T🌋|
👗FashionDesigner|
👥Volunteers @campa_Africa🇳🇬|
🗣Podcast-Precious Dawn",INFJ
223,1242735568846557190,a broken infj. Working on it one day at a time. 🥺,INFJ
224,345976698,"Pharmacist
Otaku
I love food and art
 🇸🇩
#INTP",INTP
225,1154890577672134656,"𝐭𝐡𝐞 𝐧𝐢𝐠𝐡𝐭 𝐠𝐚𝐯𝐞 𝐮𝐬 𝐚 𝐝𝐫𝐞𝐚𝐦, 𝐚𝐧𝐝 𝐰𝐞 𝐰𝐞𝐫𝐞 𝐧𝐨𝐭 𝐚𝐟𝐫𝐚𝐢𝐝 𝐨𝐟 𝐢𝐭 


intp 19 she/her",INTP
226,1240368541402116096,"💙🌌🌙🌌💙
━─━────༺༻────━─━
༺모두가 잠든 밤에 피는 꽃도 있어༻
꧁ѕσмє fℓσωєяѕ вℓσσм αт 
        иιgнт ωнєи єνєяуσиє ιѕ αѕℓєєρ꧂
━─━────༺༻────━─━
.
.
I'm intp~❄
.
💙🌈🌌🌌🌈💙",INTP
